,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
5167,2021-04-27 13:00:11,35-44,Engineering or Manufacturing,Civil engineer,FREELANCE Land development/consulting,124800,0.0,USD,,,US,"New Jersey, Pennsylvania",Hawley,21 - 30 years,21 - 30 years,College degree,Woman,White,124800.0,21
5169,2021-04-27 13:00:13,35-44,Engineering or Manufacturing,Validation engineer,Mechanical,83000,0.0,USD,,,Usa,Illinois,Peoria,11 - 20 years,8 - 10 years,College degree,Non-binary,White,83000.0,8
5171,2021-04-27 13:00:16,45-54,Computing or Tech,Sr. Principal Curriculum Developer,I develop online training for software products,132000,7500.0,USD,,Average additional compensation is in the form of RSU grants vesting,USA,New Mexico,Rio Rancho,21 - 30 years,21 - 30 years,College degree,Woman,White,139500.0,21
5173,2021-04-27 13:00:18,25-34,Media & Digital,Marketing Coordinator,,45281,1200.0,USD,,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,"Black or African American, White",46481.0,5
5175,2021-04-27 13:00:22,25-34,"Marketing, Advertising & PR",Content Marketing Manager,,50000,6000.0,USD,,,United States,North Carolina,Winston-Salem,5-7 years,2 - 4 years,College degree,Woman,White,56000.0,2
5176,2021-04-27 13:00:22,55-64,Computing or Tech,Senior Software Engineer,,141900,0.0,USD,,,USA,Oregon,Portland,31 - 40 years,21 - 30 years,Master's degree,Man,White,141900.0,21
5177,2021-04-27 13:00:25,25-34,"Accounting, Banking & Finance",Senior Investment Operations Analyst,,105000,25000.0,USD,,,United States,Connecticut,Hartford,11 - 20 years,11 - 20 years,College degree,Man,White,130000.0,11
5179,2021-04-27 13:00:28,25-34,"Marketing, Advertising & PR",Editor,,55000,0.0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,White,44333.9231088559,5
5180,2021-04-27 13:00:30,35-44,Law,Associate attorney,,90000,12000.0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,11
5181,2021-04-27 13:00:37,35-44,Government and Public Administration,Auditor,,82344,0.0,USD,,,United States of America,Washington,Olympia,11 - 20 years,8 - 10 years,College degree,Man,White,82344.0,8
5183,2021-04-27 13:00:44,25-34,Media & Digital,"Associate Director, Transformation","Project management for company and industry transformation projects - cross-functional and highly matrixed, digital sphere",150000,0.0,USD,,,United States,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman,White,150000.0,8
5184,2021-04-27 13:00:46,25-34,Nonprofits,Senior Communications Officer,job is technically nonprofit sector but for a philanthropic org,78000,2000.0,USD,,,USA,Ohio,Cleveland,11 - 20 years,8 - 10 years,College degree,Woman,White,80000.0,8
5186,2021-04-27 13:00:55,35-44,Media & Digital,Editor,,80000,0.0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White,80000.0,11
5187,2021-04-27 13:01:01,35-44,Health care,Charge Nurse,,64000,0.0,USD,,,US,Tennessee,Memphis,11 - 20 years,8 - 10 years,College degree,Woman,White,64000.0,8
5189,2021-04-27 13:01:08,25-34,"Accounting, Banking & Finance",Senior,,97000,0.0,USD,,,United States,California,San Jose,2 - 4 years,2 - 4 years,Master's degree,Woman,White,97000.0,2
5190,2021-04-27 13:01:11,35-44,Computing or Tech,Data scientist,,123000,12000.0,USD,,,United States,"Georgia, Washington",Seattle,2 - 4 years,2 - 4 years,Master's degree,Man,White,135000.0,2
5191,2021-04-27 13:01:11,25-34,Engineering or Manufacturing,Project Manager,,102000,10000.0,USD,,,United States,California,Long Beach,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,112000.0,5
5192,2021-04-27 13:01:12,25-34,Engineering or Manufacturing,Qa and tech support,,36000,0.0,USD,,,Usa,Virginia,Suffolk,11 - 20 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White",36000.0,1
5195,2021-04-27 13:01:18,25-34,Health care,Registered nurse,,85000,0.0,CAD,,,Canada,,Winkler,8 - 10 years,8 - 10 years,College degree,Woman,White,68516.06298641367,8
5196,2021-04-27 13:01:20,25-34,Education (Higher Education),Program coordinator,Non-supervisory student affairs administrator,60000,240.0,USD,,,United States,California,Orange,8 - 10 years,5-7 years,Master's degree,Woman,White,60240.0,5
5198,2021-04-27 13:01:28,25-34,Education (Primary/Secondary),Middle school teacher,,53000,0.0,USD,,,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,White,53000.0,5
5199,2021-04-27 13:01:29,35-44,Business or Consulting,Principal,Combination of lobbying and policy development for public agencies,230000,25000.0,USD,,,USA,District of Columbia,Washington,11 - 20 years,1 year or less,College degree,Man,White,255000.0,1
5200,2021-04-27 13:01:33,25-34,Nonprofits,Researcher,,96000,0.0,USD,,,US,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White,96000.0,5
5201,2021-04-27 13:01:38,35-44,Nonprofits,director,,170000,0.0,USD,,,US,District of Columbia,washington dc,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,170000.0,11
5202,2021-04-27 13:01:40,35-44,Computing or Tech,Technical Account Manager,no sales,86000,0.0,USD,,,United States,New Jersey,Hoboken,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American,86000.0,5
5203,2021-04-27 13:01:40,35-44,Government and Public Administration,Senior Trade Policy Analyst,,80000,0.0,CAD,,,Canada,,Ottawa,11 - 20 years,8 - 10 years,Some college,Woman,White,64485.70634015404,8
5204,2021-04-27 13:01:44,25-34,Nonprofits,Administrative and Data Coordinator,I manage our online grants database in addition to my admin duties,42000,4000.0,USD,,,United States,Georgia,Atlanta,5-7 years,2 - 4 years,College degree,Woman,White,46000.0,2
5205,2021-04-27 13:01:47,35-44,Education (Higher Education),Senior Associate Director,,89300,0.0,USD,,,United States,Connecticut,New Haven,11 - 20 years,11 - 20 years,College degree,Woman,White,89300.0,11
5206,2021-04-27 13:01:50,18-24,"Accounting, Banking & Finance",Credit Analyst,,46010,300.0,USD,,,United States,Texas,San Antonio,2 - 4 years,1 year or less,College degree,Woman,"Asian or Asian American, White",46310.0,1
5207,2021-04-27 13:01:52,35-44,"Accounting, Banking & Finance",BI Analyst,,95000,0.0,USD,,,United States,Utah,Salt Lake City,11 - 20 years,5-7 years,College degree,Man,White,95000.0,5
5208,2021-04-27 13:01:55,25-34,Business or Consulting,Senior Consultant,,142000,0.0,USD,,,United States,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Master's degree,Woman,White,142000.0,5
5209,2021-04-27 13:01:56,25-34,Education (Higher Education),Librarian,,82000,0.0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,Master's degree,Woman,White,66097.8489986579,5
5210,2021-04-27 13:01:57,18-24,Engineering or Manufacturing,Project Manager,,98000,44000.0,USD,,Bonus variable; approx 45% of annual salary in 2020,United States,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,White,142000.0,2
5212,2021-04-27 13:02:05,35-44,Education (Primary/Secondary),Program Associate,,50000,0.0,USD,,,USA,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Woman,White,50000.0,11
5213,2021-04-27 13:02:07,35-44,Nonprofits,Marketing/Communications Manager,,77000,0.0,USD,,,USA,California,Oakland,11 - 20 years,11 - 20 years,Master's degree,Woman,White,77000.0,11
5214,2021-04-27 13:02:09,25-34,Government and Public Administration,Senior Policy Analyst,,103000,0.0,CAD,,,Canada,,Ottawa,5-7 years,5-7 years,Master's degree,Man,White,83025.34691294833,5
5215,2021-04-27 13:02:09,45-54,"Marketing, Advertising & PR",Branding Director,,130000,0.0,USD,,,US,New Jersey,Bridgewater,21 - 30 years,11 - 20 years,Master's degree,Woman,White,130000.0,11
5216,2021-04-27 13:02:11,25-34,Education (Higher Education),STEM Specialist,Supporting faculty and students in the STEM field,62000,0.0,USD,,,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,White,62000.0,5
5217,2021-04-27 13:02:12,35-44,Health care,Clinical technologist team leader,Medical physicist - radiation protection,44500,0.0,GBP,,,UK,,Leeds,11 - 20 years,11 - 20 years,College degree,Woman,White,61878.60668845165,11
5218,2021-04-27 13:02:14,35-44,Education (Higher Education),Director,,95000,0.0,USD,,,United States,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,PhD,Woman,White,95000.0,11
5219,2021-04-27 13:02:14,25-34,Media & Digital,Associate Editor,,45000,0.0,USD,,,United States,New York,New York City,5-7 years,8 - 10 years,College degree,Woman,White,45000.0,8
5221,2021-04-27 13:02:19,25-34,Government and Public Administration,Park Operations Supervisor,Nature Preserve Manager,52490,0.0,USD,,,United States,Texas,Corpus Christi,11 - 20 years,8 - 10 years,Master's degree,Woman,White,52490.0,8
5222,2021-04-27 13:02:21,25-34,Government and Public Administration,Records Information Analyst,I do records & information management (not IT),77000,7000.0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,Master's degree,Woman,White,67709.99165716174,5
5223,2021-04-27 13:02:22,35-44,Health care,Medical Laboratory Scientist,,73986,800.0,USD,,,US,Colorado,Fort Collins,8 - 10 years,8 - 10 years,College degree,Woman,White,74786.0,8
5224,2021-04-27 13:02:22,35-44,Law,Associate,Associate attorney,340000,100000.0,USD,,"If hit a billable hour target, get a ""market"" bonus (which is $100,000 for someone at my level)",USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,440000.0,8
5225,2021-04-27 13:02:24,35-44,Education (Higher Education),Intellectual property manager,Evaluation of new inventions by university faculty and staff for patentability and commercial potential,71750,0.0,USD,,,United States,Texas,Houston,5-7 years,2 - 4 years,PhD,Man,White,71750.0,2
5228,2021-04-27 13:02:30,25-34,Education (Higher Education),Librarian,,60000,0.0,USD,,,United States,Georgia,Atlanta,2 - 4 years,5-7 years,Master's degree,Woman,White,60000.0,5
5229,2021-04-27 13:02:34,45-54,Media & Digital,Project Manager,,52000,0.0,EUR,,,UK,,Glasgow,21 - 30 years,5-7 years,College degree,Woman,White,62865.32916649036,5
5230,2021-04-27 13:02:35,25-34,Computing or Tech,System Reliability Engineer II,,97000,2500.0,USD,,,United States,Texas,Dallas,11 - 20 years,5-7 years,High School,Woman,White,99500.0,5
5232,2021-04-27 13:02:41,35-44,Health care,Principle Research Scientist,,145000,9000.0,USD,,,United States,Massachusetts,North Chicago,8 - 10 years,8 - 10 years,PhD,Woman,White,154000.0,8
5233,2021-04-27 13:02:44,35-44,"Accounting, Banking & Finance",Senior Manager,,160000,16000.0,USD,,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,Master's degree,Woman,White,176000.0,11
5234,2021-04-27 13:02:46,25-34,Government and Public Administration,Senior Counsel,,113300,0.0,USD,,,United States,New York,New York,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,113300.0,5
5235,2021-04-27 13:02:46,55-64,Law,General Counsel,I'm in-house legal counsel,99000,3000.0,USD,,,United States,Rhode Island,Warwick,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,31
5237,2021-04-27 13:02:49,35-44,Nonprofits,Program Manager,Education video producer plus EVERYTHING ELSE for a food based nonprofit,46000,0.0,USD,,,United States,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White,46000.0,5
5238,2021-04-27 13:02:50,25-34,Health care,Operations Manager,Manage doctor offices,83000,0.0,USD,,,USA,Oklahoma,Oklahoma City,8 - 10 years,8 - 10 years,Master's degree,Woman,White,83000.0,8
5239,2021-04-27 13:02:55,45-54,Education (Higher Education),Adjunct Faculty Librarian,,97000,0.0,USD,,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White,97000.0,11
5240,2021-04-27 13:02:58,45-54,Education (Primary/Secondary),elementary school music teacher,,45000,0.0,USD,,,united states,North Carolina,Clinton,21 - 30 years,11 - 20 years,PhD,Woman,White,45000.0,11
5242,2021-04-27 13:03:06,25-34,Education (Higher Education),Administrative Coordinator,,55000,0.0,USD,,,usa,Virginia,Alexandria,5-7 years,2 - 4 years,Master's degree,Non-binary,White,55000.0,2
5243,2021-04-27 13:03:09,35-44,Media & Digital,"Manager, Strategic Supplier Syndication",I run a program to build the technology and processes to syndicate product data/content between suppliers and distributors.,133000,20000.0,USD,,,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White,153000.0,11
5244,2021-04-27 13:03:11,25-34,Government and Public Administration,Cultural Resources Specialist & Archeologist,,72000,500.0,USD,,,United States,Virginia,McLean,8 - 10 years,5-7 years,PhD,Woman,White,72500.0,5
5247,2021-04-27 13:03:16,35-44,"Accounting, Banking & Finance",credit specialist,,50000,0.0,USD,,,United States,Maryland,Central MD,8 - 10 years,5-7 years,College degree,Woman,White,50000.0,5
5249,2021-04-27 13:03:18,35-44,Media & Digital,Senior Editor,,85000,0.0,USD,,,United States,California,San Diego,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer,85000.0,11
5250,2021-04-27 13:03:18,35-44,"Accounting, Banking & Finance",Operations Manager,,86000,2000.0,CAD,,,Canada,,Calgary,11 - 20 years,11 - 20 years,Some college,Woman,White,70934.27697416944,11
5252,2021-04-27 13:03:23,35-44,Government and Public Administration,Fishery Analyst,Write natural resource management plans and provide other related support for policy developers,105426,1133.0,USD,,,United States,Massachusetts,Newburyport,11 - 20 years,11 - 20 years,Master's degree,Woman,White,106559.0,11
5254,2021-04-27 13:03:26,25-34,"Marketing, Advertising & PR",Copywriter,,51000,0.0,USD,,,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Woman,White,51000.0,5
5255,2021-04-27 13:03:26,35-44,Government and Public Administration,Paralegal,,39500,0.0,USD,,,United States,Ohio,Columbus,11 - 20 years,2 - 4 years,College degree,Woman,White,39500.0,2
5256,2021-04-27 13:03:26,25-34,Media & Digital,HRBP,,103000,10000.0,USD,,,US,New York,NYC,8 - 10 years,5-7 years,College degree,Woman,White,113000.0,5
5257,2021-04-27 13:03:30,35-44,Education (Primary/Secondary),High School Librarian,,77443,0.0,USD,,,USA,Maryland,"Joppatowne (Near Baltimore, MD)",11 - 20 years,11 - 20 years,Master's degree,Woman,White,77443.0,11
5258,2021-04-27 13:03:31,25-34,Government and Public Administration,Senior Product Manager,,126000,0.0,CAD,,,Canada,,Ottawa,5-7 years,5-7 years,College degree,Woman,White,101564.9874857426,5
5259,2021-04-27 13:03:33,25-34,Education (Higher Education),senior education coordinator,,29160,2333.0,EUR,,,The Netherlands,,Leiden,2 - 4 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White",38073.41945077463,2
5260,2021-04-27 13:03:37,35-44,"Accounting, Banking & Finance",Analyst,,65300,2500.0,USD,,,United States,Texas,Houston,8 - 10 years,2 - 4 years,College degree,Woman,Black or African American,67800.0,2
5261,2021-04-27 13:03:39,25-34,"Marketing, Advertising & PR",Marketing assistant,,37500,0.0,USD,,,us,Pennsylvania,philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,White,37500.0,2
5263,2021-04-27 13:03:39,25-34,Business or Consulting,"Vice President, Learning and Development",,160000,0.0,USD,,,USA,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White,160000.0,11
5264,2021-04-27 13:03:41,25-34,Government and Public Administration,Director of Senior Services,,68000,0.0,USD,,,United States,Wisconsin,Sheboygan,11 - 20 years,11 - 20 years,Master's degree,Woman,White,68000.0,11
5266,2021-04-27 13:03:42,35-44,Health care,Principal Ocuupational Therapist,,86000,86000.0,USD,,,US,New Jersey,Trenton,11 - 20 years,11 - 20 years,College degree,Woman,White,172000.0,11
5267,2021-04-27 13:03:42,35-44,Nonprofits,CRM Director,,160000,0.0,USD,,,US,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,160000.0,11
5269,2021-04-27 13:03:44,25-34,Education (Higher Education),Data and Insights Analyst,,63550,0.0,USD,,,United States,Minnesota,Saint Paul,8 - 10 years,8 - 10 years,Master's degree,Non-binary,White,63550.0,8
5270,2021-04-27 13:03:46,25-34,"Accounting, Banking & Finance",Senior Software Developer,,78000,0.0,GBP,,,UK,,London,8 - 10 years,8 - 10 years,College degree,Prefer not to answer,White,108461.378015713,8
5271,2021-04-27 13:03:48,25-34,Computing or Tech,Associate Project manager/Scrum Master,,75000,5000.0,USD,,,United States,Virginia,Richmond,5-7 years,1 year or less,Master's degree,Woman,White,80000.0,1
5272,2021-04-27 13:03:51,45-54,Education (Higher Education),Managing editor,,50000,0.0,USD,,,USA,Pennsylvania,Philadelphia,21 - 30 years,21 - 30 years,Master's degree,Woman,White,50000.0,21
5275,2021-04-27 13:03:59,35-44,Health care,Compliance Officer,Focus on specific government programs,97000,5000.0,USD,,,USA,Nebraska,Omaha,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,102000.0,5
